Id_Usuario,Nombre_Película,Género_Película,Duración (minutos),Minutos_vistos,Porcentaje_visualizado,Num_visualizaciones,Calificación_usuario,
103,The Matrix,Misterio,163,142,87.12,2,3,
436,Coco,Fantasía,117,103,88.03,1,2.8,
861,Forrest Gump,Ciencia Ficción,162,133,82.1,1,2.1,
271,Titanic,Ciencia Ficción,106,75,70.75,1,3.9,
107,Fight Club,Comedia,168,22,13.1,1,,
72,Avengers: Endgame,Romance,166,158,95.18,3,2.9,
701,Forrest Gump,Acción,172,0,0,3,2.2,
21,Pulp Fiction,Romance,94,55,58.51,2,2.1,
615,Forrest Gump,Drama,138,35,25.36,3,3.1,
122,Inception,Fantasía,82,21,25.61,4,3.7,
467,Inception,Drama,89,49,55.06,3,3.3,
215,Gladiator,Thriller,158,19,12.03,3,2.4,
331,Coco,Acción,159,96,60.38,4,2.4,
459,Pulp Fiction,Thriller,96,2,2.08,2,3.2,
88,Avengers: Endgame,Aventura,162,90,55.56,1,3.9,
373,Pulp Fiction,Animación,90,55,61.11,1,4.2,
100,Interstellar,Ciencia Ficción,127,34,26.77,6,2.5,
872,Pulp Fiction,Misterio,84,69,82.14,4,0.8,
664,Interstellar,Thriller,148,0,0,4,4.8,
131,Gladiator,Romance,143,75,52.45,9,1,
662,Gladiator,Aventura,93,24,25.81,2,1.4,
309,Fight Club,Ciencia Ficción,129,60,46.51,2,3.3,
770,La La Land,Thriller,105,17,16.19,4,0.1,
344,Inception,Aventura,151,131,86.75,2,2.2,
492,Forrest Gump,Aventura,148,122,82.43,3,3.7,
414,Forrest Gump,Acción,86,63,73.26,3,4.7,
806,Coco,Drama,95,78,82.11,2,3,
386,The Shawshank Redemption,Aventura,134,21,15.67,1,1.8,
192,The Shawshank Redemption,Comedia,157,129,82.17,1,5,
956,The Dark Knight,Drama,135,66,48.89,1,2.8,
277,The Matrix,Ciencia Ficción,83,54,65.06,1,3.9,
161,Fight Club,Ciencia Ficción,179,25,13.97,2,3.6,
460,The Dark Knight,Ciencia Ficción,127,68,53.54,3,1.7,
314,The Dark Knight,Ciencia Ficción,96,55,57.29,2,4,
22,The Godfather,Comedia,115,33,28.7,3,3.8,
253,Coco,Thriller,149,55,36.91,2,4.2,
748,The Godfather,Fantasía,159,49,,4,3.5,
857,The Lord of the Rings,Aventura,172,152,88.37,4,2.3,
561,Coco,Ciencia Ficción,179,110,61.45,3,3.4,
475,The Dark Knight,Drama,117,106,90.6,4,3.2,
59,Pulp Fiction,Drama,141,111,78.72,1,3.7,
511,The Matrix,Aventura,127,1,0.79,3,2.3,
682,La La Land,Thriller,89,54,60.67,3,2.6,
476,Fight Club,Misterio,115,42,36.52,4,4.2,
700,Coco,Misterio,108,44,40.74,1,2.2,
976,La La Land,Fantasía,157,23,14.65,4,2.5,
783,The Dark Knight,Thriller,83,36,43.37,7,4,
190,Avengers: Endgame,Aventura,123,52,42.28,1,4.7,
958,Titanic,Misterio,135,77,57.04,3,4.4,
687,Forrest Gump,Misterio,121,79,65.29,1,4.6,
958,The Matrix,Misterio,179,182,101.68,1,,
563,The Godfather,Romance,92,53,57.61,3,2.6,
876,The Lord of the Rings,Comedia,125,77,61.6,1,1.5,
567,Forrest Gump,Aventura,161,132,81.99,4,3.4,
244,La La Land,Animación,112,108,96.43,1,3.9,
832,Coco,Acción,100,30,30,3,4.8,
505,The Godfather,Acción,159,148,93.08,3,4.9,
131,The Godfather,Thriller,158,54,34.18,1,3.9,
485,The Matrix,Aventura,136,40,29.41,2,2,
819,The Godfather,Aventura,148,76,51.35,3,3.2,
647,La La Land,Acción,149,103,69.13,3,4.1,
21,Titanic,Fantasía,146,78,53.42,2,1.8,
841,Gladiator,Acción,127,44,34.65,7,,
167,The Lord of the Rings,Aventura,155,132,85.16,3,1.6,
274,Inception,Misterio,179,123,68.72,4,3.3,
388,La La Land,Fantasía,112,93,83.04,2,3.7,
601,Gladiator,Ciencia Ficción,115,12,10.43,3,4.8,
316,La La Land,Animación,112,24,21.43,2,3.9,
14,Inception,Romance,110,94,85.45,1,3.7,
242,The Shawshank Redemption,Comedia,100,71,71,3,1.1,
777,Avengers: Endgame,Ciencia Ficción,106,20,18.87,8,1.1,
346,The Shawshank Redemption,Drama,170,25,14.71,3,2,
565,The Godfather,Acción,151,138,91.39,4,4.6,
898,Fight Club,Animación,141,124,87.94,3,2.6,
340,Fight Club,Acción,175,93,53.14,2,4.9,
92,Inception,Acción,105,37,35.24,1,1.8,
367,Forrest Gump,Ciencia Ficción,145,64,44.14,1,1.7,
956,The Matrix,Misterio,91,27,29.67,1,2.7,
455,The Godfather,Misterio,101,29,28.71,2,2.8,
428,The Matrix,Romance,96,68,70.83,7,3.9,
509,Gladiator,Fantasía,86,37,43.02,2,3.4,
776,Fight Club,Acción,147,7,4.76,3,1.7,
943,Pulp Fiction,Thriller,116,18,15.52,3,3.5,
35,The Lord of the Rings,Misterio,117,28,23.93,2,3.9,
206,Gladiator,Aventura,175,44,25.14,3,4.6,
81,Avengers: Endgame,Animación,90,18,20,1,1,
932,The Lord of the Rings,Thriller,80,50,,3,1.2,
562,Titanic,Ciencia Ficción,104,8,7.69,3,4.6,
872,Gladiator,Ciencia Ficción,121,95,78.51,1,2.2,
388,Inception,Romance,131,2,1.53,4,1.9,
2,Titanic,Romance,103,68,66.02,3,,
390,Interstellar,Fantasía,132,119,90.15,3,4.4,
566,Gladiator,Aventura,135,12,8.89,1,1.5,
